number,value,params_beta,params_latent_dim,params_lr
0,0.1930412644147873,1.3146091546310463,256,7.161246859115129e-05
1,0.16989921152591705,1.3235934404439869,512,0.00025529516046973776
2,0.18006596982479095,0.45042426126644386,256,7.59967415065491e-05
3,0.16470990419387818,0.8280444240472667,512,9.776854331372622e-05
4,0.15674727082252501,0.6903727249529936,128,0.0001429025532903468
5,0.24025468051433563,1.292046753205887,128,5.564426587452873e-05
6,0.20863393425941468,3.471459039853269,128,0.00046195751598136265
7,0.17166361033916475,1.6666279801251984,128,0.00013775979824755377
8,0.17301952302455903,3.1107912983195063,256,9.072980676745135e-05
9,0.18082319140434266,1.1382686657309775,128,7.652872182750095e-05
10,0.16971210956573488,0.25419168294984273,128,0.00024836352075448037
11,0.15595519840717315,0.6269707560751875,512,0.00014077347479400854
